Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual,Selling_Price
0.57,24000,0,4,0,1,1,0,0.35
13.6,10980,0,4,0,1,0,1,10.11
9.4,60000,0,8,1,0,0,1,4.95
0.57,35000,1,9,0,1,1,1,0.15
18.61,40001,0,7,0,1,0,1,6.95
8.92,42367,0,5,1,0,0,1,7.45
1.47,26000,0,5,0,1,1,1,1.1
0.88,8000,0,6,0,1,1,1,0.5
0.54,14000,0,4,0,1,1,1,0.45
9.95,45000,0,6,1,0,0,1,6
9.83,2071,0,2,1,0,0,1,9.25
1.47,33000,0,7,0,1,1,1,1.1
12.04,15000,0,6,0,1,0,0,7.5
0.51,1300,0,3,0,1,1,0,0.4
9.4,45000,0,7,1,0,0,1,6.15
4.89,64532,0,7,0,1,0,1,2.65
1.75,11500,0,8,0,1,1,1,0.95
18.64,8700,0,3,0,1,0,1,17
0.54,8600,0,3,0,1,1,1,0.48
1.82,1400,0,3,0,1,1,1,1.7
0.73,12000,0,7,0,1,1,1,0.42
9.4,19434,0,4,1,0,0,1,8.35
9.4,32322,0,8,1,0,0,1,5.35
4.99,20000,0,9,0,1,0,1,3
0.99,25000,0,6,0,1,1,1,0.6
6.79,35000,0,8,0,1,0,1,3.75
9.9,56701,0,7,0,1,0,1,5
5.71,43000,0,9,0,1,0,1,2.65
1.47,11000,0,3,0,1,1,1,1.2
1.5,18000,0,4,0,1,1,1,1.2
0.787,16000,0,7,0,1,1,1,0.65
14,63000,0,6,1,0,0,1,8.25
0.95,27000,0,10,0,1,1,1,0.45
7.15,58000,0,12,0,1,0,1,1.95
10.79,43000,0,4,1,0,0,1,7.75
7,35000,0,6,0,1,0,1,3.65
14.68,72000,0,7,0,1,0,1,5.5
18.61,62000,0,11,0,1,0,1,3.8
4.41,56879,0,7,0,1,0,1,2.9
18.54,50000,0,10,0,1,0,1,4.75
13.7,75000,0,15,0,1,0,1,3.51
12.35,135154,0,16,0,1,0,0,1.5
6.4,19000,0,6,0,1,0,1,4.5
0.81,42000,0,6,0,1,1,1,0.42
8.61,33429,0,5,1,0,0,1,6.5
1.2,32000,0,7,0,1,1,1,0.6
13.6,40126,0,6,0,1,0,1,6.25
22.83,80000,0,10,0,1,0,0,5.25
4.6,30000,0,7,0,1,0,1,4
6.79,52132,0,8,1,0,0,1,3.1
9.4,36198,0,7,0,1,0,0,5.11
1.47,4100,0,3,0,1,1,1,1.35
35.96,47000,0,5,1,0,0,0,23.5
25.39,15000,0,3,1,0,0,0,23
9.4,61381,0,5,1,0,0,1,8.25
13.6,30753,0,4,0,1,0,0,10.9
5.7,4492,0,5,0,1,0,1,5.5
11.6,33988,0,4,1,0,0,1,9.5
7.6,50456,0,14,0,1,0,1,2.1
8.5,15059,0,4,0,1,0,0,7.4
0.58,30000,0,7,0,1,1,1,0.3
